# 1d pts  CFL  time -->  10001   1.000000e+00   3.800000e-02
# Var. names: x, rho, u, p, Ma, s, tt
4.800000e-03  1.461791e-01  5.362629e-02 6.773987e+01 2.105398e-03 1.000011e+03 1.000000e+00
4.900000e-03  1.461811e-01  5.474920e-02 6.774114e+01 2.149479e-03 1.000011e+03 1.000000e+00
5.000000e-03  1.461832e-01  5.587313e-02 6.774251e+01 2.193599e-03 1.000011e+03 1.000000e+00
5.100000e-03  1.461853e-01  5.699148e-02 6.774387e+01 2.237499e-03 1.000011e+03 1.000000e+00
5.200000e-03  1.461874e-01  5.811227e-02 6.774521e+01 2.281495e-03 1.000011e+03 1.000000e+00
5.300000e-03  1.461896e-01  5.923392e-02 6.774664e+01 2.325524e-03 1.000010e+03 1.000000e+00
5.400000e-03  1.461919e-01  6.035726e-02 6.774810e+01 2.369619e-03 1.000010e+03 1.000000e+00
5.500000e-03  1.461941e-01  6.147999e-02 6.774953e+01 2.413691e-03 1.000010e+03 1.000000e+00
5.600000e-03  1.461964e-01  6.259766e-02 6.775101e+01 2.457562e-03 1.000010e+03 1.000000e+00
5.700000e-03  1.461988e-01  6.372247e-02 6.775255e+01 2.501714e-03 1.000010e+03 1.000000e+00
5.800000e-03  1.462011e-01  6.484925e-02 6.775407e+01 2.545943e-03 1.000010e+03 1.000000e+00
5.900000e-03  1.462035e-01  6.596641e-02 6.775561e+01 2.589793e-03 1.000010e+03 1.000000e+00
6.000000e-03  1.462060e-01  6.708783e-02 6.775722e+01 2.633811e-03 1.000010e+03 1.000000e+00
6.100000e-03  1.462085e-01  6.821931e-02 6.775884e+01 2.678223e-03 1.000010e+03 1.000000e+00
6.200000e-03  1.462110e-01  6.933961e-02 6.776046e+01 2.722195e-03 1.000010e+03 1.000000e+00
6.300000e-03  1.462136e-01  7.045652e-02 6.776212e+01 2.766034e-03 1.000009e+03 1.000000e+00
6.400000e-03  1.462162e-01  7.158946e-02 6.776382e+01 2.810502e-03 1.000009e+03 1.000000e+00
6.500000e-03  1.462189e-01  7.271495e-02 6.776552e+01 2.854677e-03 1.000009e+03 1.000000e+00
6.600000e-03  1.462216e-01  7.383029e-02 6.776726e+01 2.898453e-03 1.000009e+03 1.000000e+00
6.700000e-03  1.462243e-01  7.496045e-02 6.776902e+01 2.942810e-03 1.000009e+03 1.000000e+00
6.800000e-03  1.462270e-01  7.609169e-02 6.777081e+01 2.987210e-03 1.000009e+03 1.000000e+00
6.900000e-03  1.462298e-01  7.720833e-02 6.777262e+01 3.031035e-03 1.000009e+03 1.000000e+00
7.000000e-03  1.462327e-01  7.833429e-02 6.777444e+01 3.075226e-03 1.000009e+03 1.000000e+00
7.100000e-03  1.462356e-01  7.946983e-02 6.777631e+01 3.119793e-03 1.000009e+03 1.000000e+00
7.200000e-03  1.462385e-01  8.059006e-02 6.777820e+01 3.163758e-03 1.000009e+03 1.000000e+00
7.300000e-03  1.462414e-01  8.171249e-02 6.778009e+01 3.207809e-03 1.000008e+03 1.000000e+00
7.400000e-03  1.462444e-01  8.284761e-02 6.778202e+01 3.252358e-03 1.000008e+03 1.000000e+00
7.500000e-03  1.462474e-01  8.397378e-02 6.778400e+01 3.296554e-03 1.000008e+03 1.000000e+00
